,d1r1,d1r0,d0r1,d0r0,ROR,SE,CI95min,CI95max
ACYCLOVIR,1,468,204,36376,0.38101223395341044,1.0035268823376102,0.05329906534854156,2.72369358586024
ALLOPURINOL,1,464,204,36380,0.3843390804597701,1.0035360585592692,0.05376348451316985,2.747525204257867
METOCLOPRAMIDE HYDROCHLORIDE,1,434,204,36410,0.41124514321857775,1.0036102695926836,0.05751888702134702,2.940296250136099
THIOTEPA,1,429,204,36415,0.4160953425659308,1.0036236467552742,0.058195735288439736,2.975051921707597
CYANOCOBALAMIN,1,425,204,36419,0.4200576701268743,1.0036345750100892,0.05874865414886212,3.003446611480129
FOLIC ACID,6,789,199,36055,1.3778015553050422,0.41591700472809634,0.6097488205175619,3.113310041649056
LANSOPRAZOLE,2,464,203,36380,0.7724647528452523,0.7121156987588068,0.19129937527886265,3.119204093157373
FLUCONAZOLE,2,455,203,36389,0.7879391544416176,0.7121456251387815,0.19512013512481163,3.181876184664571
MELPHALAN,12,1227,193,35617,1.804831701230095,0.29892767166815654,1.0045795649546725,3.2425679193584798
ASPIRIN,5,675,200,36169,1.3395925925925927,0.4544327557156567,0.5497329474046421,3.264327384052642
MANNITOL,3,497,202,36347,1.0861306452576847,0.5833724482733603,0.3461827428452255,3.4076793339617635
BORTEZOMIB,9,939,196,35905,1.7558029601617005,0.3424995852960088,0.8972929265579671,3.4357164128535356
LEUCOVORIN,4,562,201,36282,1.2847506241036808,0.506736663055997,0.47585636384271507,3.468660485709854
METHOTREXATE SODIUM,1,357,204,36487,0.5010023617290054,1.0038578028058416,0.07003881032373357,3.5837754139148377
FILGRASTIM,11,1032,194,35812,1.9676136817709582,0.3115455760132669,1.0684319971444562,3.623537680488263
ZOLEDRONIC ACID,2,386,203,36458,0.9305495290844585,0.712421371641615,0.23031073404585786,3.759800556698721
LENALIDOMIDE,7,722,198,36122,1.768754022216626,0.3864199443853902,0.829354381456246,3.772200233167203
FLUDARABINE PHOSPHATE,6,637,199,36207,1.7137650576272256,0.416280278149507,0.7578903150158238,3.8752186359351057
METHYLPREDNISOLONE SODIUM SUCCINATE,2,368,203,36476,0.9765474405654315,0.7125102911295358,0.24165308407295694,3.9463386421626723
PANTOPRAZOLE,5,541,200,36303,1.6775878003696858,0.45483620652750684,0.6878929588030759,4.091190049169925
VINORELBINE\VINORELBINE TARTRATE,3,406,202,36438,1.3329025020728673,0.5837587913233525,0.4245148318763911,4.185081289572994
METHOTREXATE,33,2294,172,34550,2.8896159850773504,0.19126381555908264,1.9862462237350325,4.203849674544897
CARMUSTINE,6,588,199,36256,1.8590913752435647,0.41643733527215776,0.8219059416408936,4.205129281100997
PREGABALIN,3,400,202,36444,1.353118811881188,0.5837904313551695,0.43092678036093046,4.248820455143747
HYDROCORTISONE,1,298,204,36546,0.6011646269245954,1.0041339692779945,0.0839957530731484,4.302585493229172
LORAZEPAM,5,509,200,36335,1.7846267190569745,0.4549639086955771,0.7316010050788957,4.353318959736261
SULFAMETHOXAZOLE\TRIMETHOPRIM,8,666,197,36178,2.2059419825917286,0.362774426801748,1.0834135424654123,4.491525940766129
FUROSEMIDE,14,957,191,35887,2.7486528035363564,0.2788135054941002,1.5914354874865368,4.7473443276802545
LEVOFLOXACIN,2,305,203,36539,1.180295566502463,0.7129040362606378,0.2918465805481232,4.773390257610572
PIPERACILLIN SODIUM\TAZOBACTAM SODIUM,2,302,203,36542,1.1921182266009853,0.7129268773327484,0.29475672247155676,4.821419692408932
ALPRAZOLAM,1,262,204,36582,0.6844409519533005,1.004363525087244,0.0955882464429637,4.900805633988317
GRANULOCYTE COLONY-STIMULATING FACTOR NOS,6,506,199,36338,2.165253143186287,0.4167680365394705,0.956640059417547,4.900820457939628
VINBLASTINE,8,595,197,36249,2.4740178304824467,0.36302121338677107,1.2144871669241755,5.03979324956277
TRAMADOL,1,247,204,36597,0.7263038818766373,1.0044789039220094,0.10141183959568204,5.201733159877845
CHOLECALCIFEROL,1,234,204,36610,0.7669264286911346,1.0045908520383264,0.10706036196342159,5.4938740747569605
METOCLOPRAMIDE,10,633,195,36211,2.933608781950014,0.3267041473213706,1.5463436404425712,5.5654256016930015
BENDAMUSTINE HYDROCHLORIDE,1,227,204,36617,0.790727304137514,1.004656437219936,0.11036869602440454,5.665099725109796
MAGNESIUM SULFATE,3,298,202,36546,1.8213502558309522,0.5845227932737138,0.5792120984097298,5.727291891042016
DOMPERIDONE,1,224,204,36620,0.8013830532212886,1.0046857986359963,0.11184957477492444,5.7417723695651715
RADIATION THERAPY,1,219,204,36625,0.8197913868743845,1.004736519981354,0.11440746410350884,5.874248881046695
LEUCOVORIN CALCIUM,1,215,204,36629,0.8351345189238486,1.0047787937390118,0.1165390461169851,5.9846865744726365
GABAPENTIN,2,240,203,36604,1.5026272577996715,0.713526519801257,0.3710951064540391,6.084393560070307
TEMOZOLOMIDE,4,309,201,36535,2.3529601185013442,0.5081719604099562,0.8690601991937327,6.37058436733641
METOPROLOL,1,194,204,36650,0.9260663028097837,1.0050292956372844,0.12916471029925594,6.639575122437465
TOPOTECAN HYDROCHLORIDE,5,334,200,36510,2.7327844311377247,0.45609363263728986,1.1178168115438767,6.680979092409721
BISOPROLOL,5,324,200,36520,2.817901234567901,0.4561949166851647,1.152404153108977,6.89043626435838
LACTULOSE,3,248,202,36596,2.191552219738103,0.585101197946225,0.6961512847833174,6.899220380429157
OLANZAPINE,3,239,202,36605,2.274638551721281,0.5852309351645391,0.7223601285018131,7.162605377607991
POLYETHYLENE GLYCOL 3350\POTASSIUM CHLORIDE\SODIUM BICARBONATE\SODIUM CHLORIDE,1,178,204,36666,1.0097488433575676,1.0052597731609243,0.14077287184055137,7.242821101332672
MESNA,15,659,190,36185,4.334917338870698,0.2710625592089963,2.5482833227235213,7.374183305001606
DEXTROSE,1,165,204,36679,1.089691027926322,1.0054799005458654,0.15185238070184395,7.819610933032316
SODIUM BICARBONATE,1,163,204,36681,1.1031216167448574,1.005516878117791,0.1537128408630763,7.916562432241774
BENDAMUSTINE,14,580,191,36264,4.58292110489258,0.28002836822520855,2.6471431157303034,7.9342766656102715
ENOXAPARIN,3,209,202,36635,2.6032734852432613,0.5857438123270315,0.8258945423887726,8.205687882824693
VINCRISTINE SULFATE,34,1251,171,35593,5.657050967413204,0.18996624396420161,3.898410429100082,8.209044745270223
HYDROMORPHONE,2,177,203,36667,2.0409674097575907,0.7145649714111724,0.5030209658969608,8.281062321656554
POLATUZUMAB VEDOTIN,3,203,202,36641,2.6806564892942495,0.5858645138500687,0.8502433095501002,8.451603362098489
ZOPICLONE,1,143,204,36701,1.25808994926642,1.0059434452250748,0.1751601649888019,9.036245886993608
NYSTATIN,1,139,204,36705,1.2944350402031317,1.0060434630935602,0.18018505910478236,9.299117705044011
MORPHINE,6,265,199,36579,4.16182800796435,0.41891850674162007,1.8310217228194687,9.45964329751661
POLYETHYLENE GLYCOLS,2,148,203,36696,2.442817201437891,0.71533916155742,0.6011487970638203,9.926587075923784
DIPHENHYDRAMINE,8,303,197,36541,4.8973547100902985,0.36524490233921497,2.3936399420393193,10.019921014523934
RANITIDINE,5,222,200,36622,4.124099099099099,0.4577464478239443,1.681463521568667,10.115112912662392
VANCOMYCIN,5,222,200,36622,4.124099099099099,0.4577464478239443,1.681463521568667,10.115112912662392
FOSAPREPITANT,1,127,204,36717,1.4172070402964336,1.006381245787561,0.19714432978385815,10.187844597244046
PROCHLORPERAZINE MALEATE,1,124,204,36720,1.4516129032258065,1.006475886461675,0.2018929944910872,10.43711311590199
DARATUMUMAB,6,227,199,36617,4.863568946051845,0.4196717626406962,2.1366001797792356,11.071001077723365
CARFILZOMIB,6,224,199,36620,4.929109834888729,0.41974204637055745,2.165094479492502,11.221738355774573
CALCIUM,1,114,204,36730,1.57937736498108,1.0068272524668456,0.21951148634194062,11.36356416961669
SENNOSIDES,1,109,204,36735,1.6520507285483002,1.0070270575840012,0.22952217044902082,11.891102303353161
VITAMINS,4,163,201,36681,4.478344473949272,0.5110160034417166,1.6448711852636506,12.192790175321443
SERTRALINE HYDROCHLORIDE,1,106,204,36738,1.698945615982242,1.0071559674752006,0.23597772511862142,12.231731637443044
CARVEDILOL,1,106,204,36738,1.698945615982242,1.0071559674752006,0.23597772511862142,12.231731637443044
TAMOXIFEN,1,106,204,36738,1.698945615982242,1.0071559674752006,0.23597772511862142,12.231731637443044
DOCUSATE SODIUM,1,106,204,36738,1.698945615982242,1.0071559674752006,0.23597772511862142,12.231731637443044
LAPATINIB,1,105,204,36739,1.715172735760971,1.0072005705616285,0.23821079067258422,12.349640019209875
LISINOPRIL,5,181,200,36663,5.063950276243094,0.45885960525336206,2.060156682612534,12.447399082162653
HEPARIN SODIUM,7,223,198,36621,5.805748063595598,0.39040909259001033,2.7010663804611386,12.47903821311843
ESCITALOPRAM OXALATE,1,99,204,36745,1.8194196870667458,1.0074870646675036,0.25254721699109245,13.107600381131151
LEVETIRACETAM,5,167,200,36677,5.490568862275449,0.45936400489762313,2.2315098484518816,13.509394301935464
MAGNESIUM,5,158,200,36686,5.804746835443038,0.4597351109919019,2.3574845576329606,14.292812953743214
APIXABAN,7,191,198,36653,6.784361944047808,0.39137007154129844,3.15041726595351,14.609990709885658
POMALIDOMIDE,6,168,199,36676,6.582196697774587,0.4215109002553539,2.881200852076218,15.037241619921808
LOSARTAN,1,86,204,36758,2.095189238486092,1.0082445500587855,0.2903943534719855,15.116746908411972
POTASSIUM,1,81,204,36763,2.2248244977003147,1.0086004367730552,0.3081468508980742,16.06326344449555
TACROLIMUS,6,156,199,36688,7.090838809431775,0.42205367617614076,3.100546657415081,16.2164935983457
DEXRAZOXANE,1,70,204,36774,2.5752100840336136,1.0095617208450436,0.3560052304238985,18.628116696521516
TAMSULOSIN,5,118,200,36726,7.78093220338983,0.4620625552211804,3.145690884917025,19.246298561642003
DIMENHYDRINATE,4,104,201,36740,7.030233448143896,0.5144100769660188,2.565045357840916,19.268346341057764
BETAMETHASONE,1,64,204,36780,2.817095588235294,1.0102248014545172,0.3889384438576622,20.40432793051197
DACTINOMYCIN,21,320,184,36524,13.0265625,0.23707848802710424,8.185110454870287,20.73170930337744
ACETAMINOPHEN\TRAMADOL HYDROCHLORIDE,1,63,204,36781,2.8618892001244944,1.0103475464450982,0.39502776524576705,20.733757255502148
TRAZODONE HYDROCHLORIDE,1,63,204,36781,2.8618892001244944,1.0103475464450982,0.39502776524576705,20.733757255502148
GENTAMICIN,1,59,204,36785,3.0562479228979726,1.0108799623697018,0.42141519005136796,22.164961270332
PROPRANOLOL HYDROCHLORIDE,1,59,204,36785,3.0562479228979726,1.0108799623697018,0.42141519005136796,22.164961270332
SENNOSIDES A AND B,1,57,204,36787,3.163656690746474,1.0111740720317905,0.43597401240512007,22.957156555479564
SODIUM THIOSULFATE,1,57,204,36787,3.163656690746474,1.0111740720317905,0.43597401240512007,22.957156555479564
ENTECAVIR,2,64,203,36780,5.661945812807882,0.721511120540695,1.376585035165861,23.287795209331296
VENETOCLAX,5,90,200,36754,10.209444444444445,0.4649067853172916,4.104549195941531,25.394446719571572
ROSUVASTATIN,5,85,200,36759,10.811470588235293,0.46560918172266347,4.340604681045047,26.928943055034154
ALDESLEUKIN,5,84,200,36760,10.94047619047619,0.46575955748305115,4.3911036255998015,27.258299844387494
ALBUTEROL SULFATE,5,81,200,36763,11.346604938271605,0.46623264608399556,4.549887868961056,28.296399237330647
DINUTUXIMAB,7,100,198,36744,12.99030303030303,0.3974101951829123,5.961243950464042,28.307510013235454
HYDROXYZINE HYDROCHLORIDE,2,51,203,36793,7.107698251714479,0.7242659253303423,1.7187843089741195,29.392503860812106
DOCUSATE,1,44,204,36800,4.09982174688057,1.0137338937929568,0.5621565352266444,29.900103090357483
RIBOCICLIB,1,39,204,36805,4.6260683760683765,1.015170013666074,0.6325311046568387,33.83313241436581
FULVESTRANT,1,37,204,36807,4.876391096979332,1.015852428533011,0.6658669900987161,35.71162181680456
CALCIUM\CHOLECALCIFEROL,1,35,204,36809,5.155322128851541,1.0166122941537825,0.7029071361570948,37.810608094732075
TIOTROPIUM BROMIDE MONOHYDRATE,5,61,200,36783,15.075,0.47055353478107287,5.99396311032748,37.9140846910524
CODEINE,7,74,198,36770,17.566885066885067,0.4018063681736831,7.992272343910389,38.61172863913726
PREDNISOLONE SODIUM METAZOATE,1,34,204,36810,5.307093425605537,1.0170255119814007,0.7230147213354411,38.95527960493394
AZACITIDINE,6,65,199,36779,17.06022419791264,0.4325547330779919,7.307800993873481,39.82747339822852
MELATONIN,5,58,200,36786,15.85603448275862,0.47145367064561544,6.293396807053792,39.94882846678915
MICAFUNGIN SODIUM,1,33,204,36811,5.468062982768865,1.0174635899530644,0.7443051360840357,40.171310574096736
ATOVAQUONE,1,29,204,36815,6.222954699121027,1.0195155134897342,0.8436601085652172,45.90138231517308
LOMUSTINE,22,149,183,36695,29.606850771995454,0.2401201519947884,18.492593149933068,47.40090291979306
GLYCOPYRRONIUM\INDACATEROL,1,28,204,36816,6.445378151260504,1.0201193109641797,0.8727810632638887,47.59830530395643
CEFAZOLIN,2,31,203,36813,11.699666295884317,0.7329470221015066,2.781482770957004,49.21195013836289
SELINEXOR,5,46,200,36798,19.99891304347826,0.4761998591187837,7.864242352816415,50.85760394672588
ZOLPIDEM\ZOLPIDEM TARTRATE,1,26,204,36818,6.941553544494721,1.0214649577316914,0.9374932567032501,51.39787968239173
DECITABINE,1,25,204,36819,7.219411764705883,1.0222177462138817,0.9735819216647923,53.53417629124666
RISPERIDONE,4,37,201,36807,19.79669221460266,0.5310643276950657,6.991036171972948,56.058789140710275
DULOXETINE HYDROCHLORIDE,5,38,200,36806,24.214473684210525,0.4809812459513579,9.433123750192154,62.15764272056542
SODIUM,1,20,204,36824,9.025490196078431,1.0270974233181536,1.2055572020382002,67.56997771801016
CLONIDINE,5,35,200,36809,26.292142857142856,0.48332038632805785,10.195660480413032,67.80107844395427
HEPARIN CALCIUM,1,19,204,36825,9.50077399380805,1.0283777006512342,1.2658615721419515,71.30693313383652
URAPIDIL,1,19,204,36825,9.50077399380805,1.0283777006512342,1.2658615721419515,71.30693313383652
POLATUZUMAB VEDOTIN-PIIQ,6,37,199,36807,29.993480918104034,0.44580936291974627,12.518326667648866,71.86335054744431
KETOROLAC TROMETHAMINE,1,18,204,36826,10.028867102396514,1.0297983642769624,1.3325079599071705,75.48035612825744
VANCOMYCIN HYDROCHLORIDE,3,23,202,36821,23.775936289281102,0.6178909674590157,7.082363592125997,79.81730097286105
PENTAMIDINE,1,17,204,36827,10.619088811995386,1.0313838491009821,1.406551365895962,80.17129692609207
POLYETHYLENE GLYCOL,4,18,201,36826,40.71420674405749,0.557277161438815,13.657841904550343,121.36958696568186
"CALCIUM PHOSPHATE, DIBASIC, ANHYDROUS\MAGNESIUM GLYCEROPHOSPHATE\PHOSPHORIC ACID\SODIUM PHOSPHATE, DIBASIC",1,11,204,36833,16.413992869875223,1.0468229082611675,2.109310875012627,127.72852267719989
TAPENTADOL HYDROCHLORIDE,1,11,204,36833,16.413992869875223,1.0468229082611675,2.109310875012627,127.72852267719989
ELOTUZUMAB,6,21,199,36823,52.86862885857861,0.46833534657744014,21.1126599125985,132.38937817201435
OXYBUTYNIN CHLORIDE,1,10,204,36834,18.055882352941175,1.0511560824226815,2.300682003562562,141.70358486675886
RIBAVIRIN,2,11,203,36833,32.9896999552172,0.771921206374355,7.2661736005042,149.77901203182637
CEVOSTAMAB,1,8,204,36836,22.57107843137255,1.0629812360244941,2.810117082110672,181.29265317746896
OMEGA-3 FATTY ACIDS,2,9,203,36835,40.322933771209634,0.7848976796871945,8.658321928538895,187.78915837699031
CYPROHEPTADINE HYDROCHLORIDE,4,12,201,36832,61.08126036484246,0.5816662342061176,19.53366321184038,190.99952360682502
CICLESONIDE,1,7,204,36837,25.79621848739496,1.0713478661295524,3.159412502283341,210.6229837884397
TOBRAMYCIN,7,14,198,36830,93.0050505050505,0.46836243563575936,37.1388437908927,232.9081505108178
RISEDRONATE SODIUM,5,11,200,36833,83.71136363636364,0.5440002210257412,28.821865024532407,243.13459229285903
RIFAXIMIN,2,5,203,36839,72.58916256157636,0.8396149436018127,14.001582307836555,376.3279324824488
ISAVUCONAZOLE,1,4,204,36840,45.14705882352941,1.120236182772439,5.024179802155778,405.68948578246517
OXYBUTYNIN,1,4,204,36840,45.14705882352941,1.120236182772439,5.024179802155778,405.68948578246517
ADENOSINE,2,4,203,36840,90.73891625615764,0.8688804594319268,16.526755784345713,498.19523146465764
CLAVULANATE POTASSIUM\TICARCILLIN DISODIUM,2,2,203,36842,181.48768472906403,1.0024735663891984,25.440429178344033,1294.7022032298958
OXACILLIN SODIUM,4,2,201,36842,366.58706467661693,0.8689086645400674,66.76473805328226,2012.8301242037371
"ESTROGENS, CONJUGATED\MEDROXYPROGESTERONE ACETATE",1,1,204,36843,180.60294117647058,1.4159551910220496,11.257434468453566,2897.411701839767
DOCETAXEL ANHYDROUS,1,1,204,36843,180.60294117647058,1.4159551910220496,11.257434468453566,2897.411701839767
IODINE I-131,2,1,203,36843,362.98522167487687,1.2267653608463027,32.782735317381736,4019.135983582797
SODIUM IODIDE I-131,4,1,201,36843,733.1940298507462,1.1202688367423619,81.58810288187664,6588.8710047232835
"(1-743)-(1638-2332)-BLOOD-COAGULATION FACTOR VIII (SYNTHETIC HUMAN) FUSION PROTEIN WITH IMMUNOGLOBULIN G1 (SYNTHETIC HUMAN FC DOMAIN FRAGMENT), (1444-6'),(1447-9')-BIS(DISULFIDE) WITH IMMUNOGLOBULIN G1 (SYNTHETIC HUMAN FC DOMAIN FRAGMENT)",0,0,205,36844,,,,
"(1-743)-(1638-2332)-BLOOD-COAGULATION FACTOR VIII (SYNTHETIC HUMAN) FUSION PROTEIN WITH IMMUNOGLOBULIN G1 (SYNTHETIC HUMAN FC DOMAIN FRAGMENT), (1444-6^),(1447-9^)-BIS(DISULFIDE) WITH IMMUNOGLOBULIN G1 (SYNTHETIC HUMAN FC DOMAIN FRAGMENT)",0,0,205,36844,,,,
.ALPHA.-ACETYLDIGOXIN,0,0,205,36844,,,,
.ALPHA.-AMYLASE (ASPERGILLUS ORYZAE)\BROMELAINS\CHYMOTRYPSIN\LYSOZYME\PANCRELIPASE\PANCRELIPASE LIPASE\PAPAIN\TRYPSIN,0,0,205,36844,,,,
.ALPHA.-AMYLASE (ASPERGILLUS ORYZAE)\BROMELAINS\CHYMOTRYPSIN\PANCRELIPASE\ PANCRELIPASE LIPASE\PAPAIN\RUTIN\TRYPSIN,0,0,205,36844,,,,
.ALPHA.-ASARONE,0,0,205,36844,,,,
.ALPHA.-CYPERMETHRIN,0,0,205,36844,,,,
.ALPHA.-GLUCOSE-1-PHOSPHATE,0,0,205,36844,,,,
.ALPHA.-HYDROXYALPRAZOLAM,0,0,205,36844,,,,
.ALPHA.-LIPOIC ACID,0,5,205,36839,,,,
".ALPHA.-LIPOIC ACID, (+/-)-",0,0,205,36844,,,,
".ALPHA.-LIPOIC ACID\.ALPHA.-TOCOPHEROL SUCCINATE, D-\AMINOBENZOIC ACID\CHONDROITIN SULFATE (BOVINE)\GLUCOSAMINE SULFATE",0,0,205,36844,,,,
".ALPHA.-LIPOIC ACID\.ALPHA.-TOCOPHEROL SUCCINATE, D-\ASCORBIC ACID\BIOTIN\CALCIUM PANTOTHENATE\CHOLECALCIFEROL\CHROMIUM\CUPRIC SULFATE\CYANOCOBALAMIN\FOLIC ACID\LUTEIN\MAGNESIUM OXIDE\MANGANESE\NIACINAMIDE\PYRIDOXINE HYDROCHLORIDE\RIBOFLAVIN\SELENIUM\THIAMINE\VITAMIN A\ZINC OXIDE",0,0,205,36844,,,,
.ALPHA.-LIPOIC ACID\GREEN TEA LEAF\QUERCETIN\SELENIUM\TURMERIC\UBIDECARENONE\VITAMIN A\VITAMIN D,0,0,205,36844,,,,
.ALPHA.-LIPOIC ACID\METHYLCOBALAMIN,0,0,205,36844,,,,
.ALPHA.-LIPOIC ACID\VITAMINS,0,0,205,36844,,,,
.ALPHA.-PYRROLIDINOBUTIOPHENONE,0,0,205,36844,,,,
.ALPHA.-PYRROLIDINOHEXIOPHENONE,0,0,205,36844,,,,
.ALPHA.-PYRROLIDINOPENTIOPHENONE,0,0,205,36844,,,,
.ALPHA.-PYRROLIDINOVALEROTHIOPHENONE,0,0,205,36844,,,,
.ALPHA.-TOCOPHEROL,0,25,205,36819,,,,
.ALPHA.-TOCOPHEROL ACETATE,0,7,205,36837,,,,
".ALPHA.-TOCOPHEROL ACETATE, D-",0,0,205,36844,,,,
".ALPHA.-TOCOPHEROL ACETATE, D-\ASCORBIC ACID\BETA CAROTENE\CALCIUM CARBONATE\CHOLECALCIFEROL\CUPRIC OXIDE\CYANOCOBALAMIN\FOLIC ACID\IODINE\IRON\MAGNESIUM OXIDE\NIACINAMIDE\OMEGA-3 FATTY ACIDS\PYRIDOXINE HYDROCHLORIDE\RIBOFLAVIN\THIAMINE MONONITRATE\ZINC OXIDE",0,0,205,36844,,,,
".ALPHA.-TOCOPHEROL ACETATE, D-\ASCORBIC ACID\BETA CAROTENE\CHOLECALCIFEROL\CYANOCOBALAMIN\FOLIC ACID\IRON\NIACINAMIDE\PYRIDOXINE HYDROCHLORIDE\RIBOFLAVIN\THIAMINE MONONITRATE",0,0,205,36844,,,,
".ALPHA.-TOCOPHEROL ACETATE, D-\ASCORBIC ACID\CALCIUM PANTOTHENATE\FOLIC ACID\MANGANESE\NIACINAMIDE\PYRIDOXINE\RIBOFLAVIN\THIAMINE\VITAMIN A\ZINC OXIDE",0,0,205,36844,,,,
".ALPHA.-TOCOPHEROL ACETATE, D-\ASCORBIC ACID\CHOLECALCIFEROL\CYANOCOBALAMIN\DOCONEXENT\FOLIC ACID\ICOSAPENT\IRON PENTACARBONYL\LEVOMEFOLATE MAGNESIUM\MAGNESIUM OXIDE\NIACIN\POTASSIUM IODIDE\PYRIDOXINE HYDROCHLORIDE\RIBOFLAVIN\THIAMINE HYDROCHLORIDE",0,0,205,36844,,,,
".ALPHA.-TOCOPHEROL ACETATE, D-\ASCORBIC ACID\CHOLECALCIFEROL\CYANOCOBALAMIN\FERRIC PYROPHOSPHATE\FERROUS CYSTEINE GLYCINATE\NIACIN\PYRIDOXINE HYDROCHLORIDE\RIBOFLAVIN\SODIUM FLUORIDE\THIAMINE HYDROCHLORIDE\VITAMIN A PALMITATE",0,0,205,36844,,,,
".ALPHA.-TOCOPHEROL ACETATE, D-\EVENING PRIMROSE OIL\FISH OIL",0,0,205,36844,,,,
".ALPHA.-TOCOPHEROL ACETATE, DL-",0,1,205,36843,,,,
".ALPHA.-TOCOPHEROL ACETATE, DL-\.BETA.-CAROTENE\ASCORBIC ACID\BIOTIN\CALCIUM CARBONATE\CHOLECALCIFEROL\CUPRIC OXIDE\CYANOCOBALAMIN\DOCUSATE SODIUM\FOLIC ACID\IRON\MAGNESIUM OXIDE\NIACINAMIDE\PANTOTHENIC ACID\PYRIDOXINE HYDROCHLORIDE\RIBOFLAVIN\THIAMINE MONONITRATE\ZINC OXIDE",0,0,205,36844,,,,
